ra_deg,dec_deg,mag,nama,bayer,konstelasi,hip
3.30897,15.18360,2.83,Algenib,Gam,Peg,1067
121.88606,-24.30432,2.83,Tureis,Rho,Pup,39757
238.78625,-63.43073,2.83,,Bet,TrA,77952
58.53300,31.88364,2.84,,Zet,Per,18246
261.32497,-55.52988,2.84,,Bet,Ara,85258
262.96043,-49.87615,2.84,,Alp,Ara,85792
56.87115,24.10514,2.85,Alcyone,Eta,Tau,17702
195.54417,10.95915,2.85,Vindemiatrix,Eps,Vir,63608
326.76016,-16.12729,2.85,Deneb Algedi,Del,Cap,107556
113.65241,31.89052,2.85,Castor B,Alp,Gem,
29.69177,-61.56986,2.86,,Alp,Hyi,9236
296.24361,45.13081,2.86,Fawaris,Del,Cyg,97165
95.74009,22.51359,2.87,Tejat,Mu,Gem,30343
229.72772,-68.67955,2.87,,Gam,TrA,74946
334.62556,-60.25959,2.87,,Alp,Tuc,110130
44.56535,-40.30467,2.88,Acamar,The-1,Eri,13847
287.44097,-21.02361,2.88,Albaldah,Pi,Sgr,94141
111.78768,8.28932,2.89,Gomeisa,Bet,CMi,36188
194.00710,38.31838,2.89,Cor Caroli,Alp-2,CVn,63125
239.71298,-26.11410,2.89,Fang,Pi,Sco,78265
59.46345,40.01022,2.90,,Eps,Per,18532
245.29715,-25.59280,2.90,Alniyat,Sig,Sco,80112
322.88973,-5.57117,2.90,Sadalsuud,Bet,Aqr,106278
46.19913,53.50644,2.91,,Gam,Per,14328
146.77554,-65.07201,2.92,,Ups,Car,48002
340.75056,30.22124,2.93,Matar,Eta,Peg,112158
102.48399,-50.61456,2.94,,Tau,Pup,32768
187.46608,-16.51543,2.94,Algorab,Del,Crv,60965
331.44599,-0.31985,2.95,Sadalmelik,Alp,Aqr,109074
59.50735,-13.50851,2.97,Zaurak,Gam,Eri,18543
84.41119,21.14255,2.97,Tianguan,Zet,Tau,26451
146.46282,23.77426,2.97,Ras Elased Australis,Eps,Leo,47908
271.45204,-30.42409,2.98,Alnasl,Gam-2,Sgr,88635
199.73039,-23.17151,2.99,,Gam,Hya,64962
266.89617,-40.12700,2.99,,Iot-1,Sco,87073
286.35253,13.86348,2.99,Okab,Zet,Aql,93747
32.38587,34.98730,3.00,,Bet,Tri,10064
167.41593,44.49849,3.00,,Psi,UMa,54539
230.18224,71.83402,3.00,Pherkad,Gam,UMi,75097
252.96764,-38.04738,3.00,Xamidimura,Mu-1,Sco,82514
328.48212,-37.36485,3.00,Aldhanab,Gam,Gru,108085
55.73124,47.78755,3.01,,Del,Per,17358
95.07829,-30.06337,3.02,Furud,Zet,CMa,30122
105.75614,-23.83329,3.02,,Omi-2,CMa,33977
182.53119,-22.61977,3.02,,Eps,Crv,59316
75.49223,43.82331,3.03,Almaaz,Eps,Aur,23416
191.57019,-68.10812,3.04,,Bet,Mus,62322
218.01954,38.30825,3.04,Seginus,Gam,Boo,71075
292.68034,27.95968,3.05,Albireo,Bet-1,Cyg,95947
305.25280,-14.78137,3.05,Dabih,Bet,Cap,100345
100.98303,25.13112,3.06,Mebsuta,Eps,Gem,32246
155.58232,41.49952,3.06,Tania Australis,Mu,UMa,50801
288.13837,67.66154,3.07,Altais,Del,Dra,94376
274.40690,-36.76169,3.10,,Eta,Sgr,89642
133.84845,5.94556,3.11,,Zet,Hya,43813
162.40618,-16.19365,3.11,,Nu,Hya,52943
173.94545,-63.01984,3.11,,Lam,Cen,56561
309.39174,-47.29150,3.11,,Alp,Ind,101772
87.73994,-35.76831,3.12,Wazn,Bet,Col,27628
134.80242,48.04183,3.12,Talitha,Iot,UMa,44127
254.65509,-55.99014,3.12,,Zet,Ara,83081
258.75796,24.83920,3.12,Sarin,Del,Her,84379
224.79037,-42.10419,3.13,,Kap,Cen,73334
140.26388,34.39256,3.14,,Alp,Lyn,45860
142.80557,-57.03438,3.16,,,Vel,46701
258.76182,36.80916,3.16,,Pi,Her,84380
99.44030,-43.19593,3.17,,Nu,Pup,31685
143.21572,51.67730,3.17,,The,UMa,46853
257.19672,65.71468,3.17,Aldhibah,Zet,Dra,83895
281.41410,-26.99078,3.17,,Phi,Sgr,92041
76.62870,41.23447,3.18,Haedus,Eta,Aur,23767
220.62738,-64.97514,3.18,,Alp,Cir,71908
72.46004,6.96128,3.19,Tabit,Pi-3,Ori,22449
76.36527,-22.37103,3.19,,Eps,Lep,23685
254.41708,9.37503,3.19,,Kap,Oph,83000
267.46447,-37.04330,3.19,Fuyue,,Sco,87261
318.23410,30.22692,3.21,,Zet,Cyg,104732
354.83730,77.63228,3.21,Errai,Gam,Cep,116727
230.34302,-40.64752,3.22,,Del,Lup,75141
244.58037,-4.69251,3.23,Yed Posterior,Eps,Oph,79882
275.32751,-2.89882,3.23,,Eta,Ser,89962
322.16493,70.56072,3.23,Alfirk,Bet,Cep,106032
102.04791,-61.94139,3.24,,Alp,Pic,32607
302.82619,-0.82146,3.24,,The,Aql,99473
112.30769,-43.30143,3.25,,Sig,Pup,36377
211.59289,-26.68236,3.25,,Pi,Hya,68895
226.01758,-25.28196,3.25,Brachium,Sig,Lib,73714
284.73593,32.68956,3.25,Sulafat,Gam,Lyr,93194
